dish_name,description,flavor,similar_japanese_dish,ingredients,img_path,category,region,allergy,,,descript_vietnamese
Lẩu Mắm|Lau Mam,"Lẩu mắm là món ăn đặc trưng của miền Tây Nam Bộ, với nước lẩu đậm đà từ mắm cá linh hoặc cá sặc, kết hợp với các loại rau, nấm, đậu hũ và các loại hải sản. Món ăn này có hương vị đặc biệt, cay cay, mặn mà, rất phù hợp để thưởng thức vào những ngày mưa. Lẩu mắm thường được ăn kèm với bún hoặc cơm, mang đến một bữa ăn ấm áp và đầy đủ dưỡng chất. Đây là món ăn phổ biến trong các buổi tiệc gia đình hoặc lễ hội.|魚醤鍋は南西部の代表的な料理で、リン魚醤またはサック魚醤の濃厚なスープに野菜、キノコ、豆腐、魚介類を合わせた料理です。この料理は、スパイシーで塩辛い特別な風味があり、雨の日に食べるのに最適です。魚醤鍋は春雨やご飯と一緒に食べられることが多く、温かくて栄養価の高い食事となります。家族のパーティーやお祭りで人気の料理です。","Đậm đà, thơm mùi mắm đặc trưng|濃厚で特徴的な魚醤の香り",Nabe|鍋,"Mắm cá, cá lóc, tôm, mực, cà tím, rau sống|魚醤、雷魚、エビ、イカ、ナス、生野菜",https://product.hstatic.net/1000093072/product/lau_mam_u_minh_d4170d1992e845428999cf978ae9efe9_master.jpg,Hải Sản|シーフード,Chubu|中部,Hải sản|海鮮,,,
Canh chua cá lóc|Canh chua ca loc,"Canh chua cá lóc là món ăn dân dã nhưng đầy hấp dẫn của người miền Nam. Nước canh chua thanh mát từ dưa leo, cà chua, me, kết hợp với cá lóc tươi ngon. Món ăn này mang lại cảm giác nhẹ nhàng, dễ chịu, thích hợp cho những bữa cơm gia đình. Canh chua cá lóc thường được ăn kèm với cơm trắng và rau sống, tạo nên sự hòa quyện tuyệt vời giữa các hương vị.|酸っぱいスネークヘッドフィッシュのスープは、南部の人々の素朴でありながら魅力的な料理です。キュウリ、トマト、タマリンドと新鮮なライギョを組み合わせた、さわやかな酸っぱいスープです。この料理は軽くて心地よい感じをもたらし、家族の食事に適しています。酸っぱいライギョのスープは、白米や生野菜と一緒に食べられることが多く、素晴らしい風味の組み合わせを生み出します。","Chua ngọt, thanh mát|甘酸っぱく爽やか",Súp miso|味噌スープ,"Cá lóc, thơm, cà chua, rau nhút, nước me|雷魚、パイナップル、トマト、ウォーターミント、タマリンドジュース",https://bizweb.dktcdn.net/100/442/328/files/bac-trung-nam-mien-nao-cung-co-mon-canh-chua-nhung-moi-mien-lai-khac-nhu-the-nay-day-1.jpg?v=1638869741746,Hải Sản|シーフード,Hokkaido|北海道,Hải sản|海鮮,,,
Bánh Xèo|Banh Xeo,"Bánh xèo là món ăn đặc sản của miền Trung và Nam Bộ, có vỏ giòn, nhân tôm, thịt và giá đỗ. Món bánh này được chiên giòn trên chảo lớn, ăn kèm với rau sống và nước mắm chua ngọt. Bánh xèo có vị béo ngậy, giòn tan, khi ăn kèm với rau và nước mắm tạo ra một sự kết hợp hoàn hảo. Đây là món ăn được yêu thích trong các bữa tiệc hoặc những buổi họp mặt gia đình.|バインセオは、サクサクの皮にエビ、肉、もやしを詰めた、中部および南部地域の名物料理です。この料理は大きなフライパンで揚げられ、生野菜と甘酸っぱい魚醤を添えて出されます。バインセオは濃厚でサクサクとした味わいで、野菜や魚醤と一緒に食べると完璧な組み合わせになります。パーティーや家族の集まりで人気の料理です。","Giòn, thơm mùi nghệ và ngọt dịu|サクサクしてウコンの香りが漂い、ほんのり甘い",Okonomiyaki|お好み焼き,"Bột gạo, nước cốt dừa, tôm, thịt ba chỉ, giá đỗ, hành lá, nghệ|米粉、ココナッツミルク、エビ、豚バラ肉、もやし、青ねぎ、ウコン",https://www.huongnghiepaau.com/wp-content/uploads/2017/02/cach-lam-banh-xeo-mien-trung.jpg,"Hải Sản, ăn vặt|シーフード、おやつ",Hokkaido|北海道,Hải sản|海鮮,,,
Bánh Gối|Banh Goi,"Bánh gối là món ăn đặc sắc của ẩm thực Việt Nam, với vỏ bánh giòn rụm, nhân là sự kết hợp giữa thịt heo, nấm, miến và gia vị. Bánh gối thường được chiên vàng và ăn kèm với nước mắm chua ngọt. Món ăn này mang đến hương vị đậm đà, thơm ngon, được rất nhiều người yêu thích. Bánh gối là món ăn phổ biến trong các buổi tiệc hoặc ngày lễ, mang đến cảm giác ngon miệng và ấm cúng.|バインゴイはベトナム料理の名物で、カリカリの皮と豚肉、キノコ、春雨、スパイスを組み合わせた具材が入っています。バインゴイは通常、黄金色になるまで揚げられ、甘酸っぱい魚醤と一緒に出されます。この料理は濃厚で美味しい味わいで、多くの人に愛されています。バインゴイは、パーティーや休日に人気の料理で、おいしくて心地よい気分をもたらします。","Giòn, thơm, đậm vị nhân|サクサクして濃厚なフィリングの風味",Bánh mì cà ri|カレーパン,"Bột mì, thịt heo, miến, nấm mèo, hành|小麦粉、豚肉、春雨、木耳、ネギ",https://cdn.tgdd.vn/2023/04/CookDish/cach-lam-banh-goi-nhan-thit-don-gian-ma-ngon-ngat-ngay-avt-1200x676.jpg,Khai Vị|前菜,Tất cả|全部|全部,Không có|ない,,,
Chả Trứng|Cha Trung,"Chả trứng là món ăn đơn giản nhưng rất ngon miệng, thường được làm từ trứng gà, thịt xay và gia vị. Chả trứng có lớp vỏ ngoài vàng giòn, bên trong mềm mịn, thơm ngon. Món ăn này thường được ăn kèm với cơm hoặc bánh mì, mang lại một bữa ăn đầy đủ dinh dưỡng. Chả trứng là món ăn phổ biến trong các bữa ăn gia đình và các dịp lễ Tết.|エッグロールはシンプルですがおいしい料理で、通常は鶏卵、ひき肉、スパイスから作られます。エッグロールは、外側はカリッとした黄金色、内側は柔らかくて美味しいです。この料理は通常、米やパンと一緒に食べられ、完全で栄養価の高い食事となります。エッグロールは家族の食事や休日の食事で人気の料理です。","Mềm, thơm béo|柔らかくて濃厚な香り",Tamagoyaki|卵焼き,"Trứng, thịt băm, miến, hành lá, nước mắm|卵、挽肉、春雨、青ねぎ、魚醤",https://cdn.tgdd.vn/Files/2018/01/29/1062867/cach-lam-cha-trung-hap-don-gian-tai-nha-202203041434088984.jpg,Khai Vị|前菜,Tokyo/Kyoto/Osaka|東京/京都/大阪,Không có|ない,,,
Gỏi Cuốn|Goi Cuon,"Gỏi cuốn là món ăn nhẹ, tươi ngon, thường được làm từ bánh tráng, rau sống, đậu hũ, bún và các loại gia vị. Món ăn này có hương vị thanh mát, dễ ăn, thích hợp cho những ai yêu thích các món ăn ít dầu mỡ. Gỏi cuốn được ăn kèm với nước chấm chua ngọt, tạo nên sự kết hợp hài hòa giữa các nguyên liệu tươi ngon. Đây là món ăn rất phổ biến trong các buổi tiệc nhẹ hoặc những ngày hè nóng bức.|春巻きは軽くて新鮮な料理で、通常はライスペーパー、生野菜、豆腐、春雨、スパイスから作られます。さっぱりとした味わいで食べやすく、低脂肪料理が好きな方にもぴったりの料理です。春巻きは甘酸っぱいディップソースと一緒に提供され、新鮮な食材の調和のとれた組み合わせを生み出します。軽いパーティーや暑い夏の日にとても人気の料理です。","Thanh mát, nhẹ nhàng|爽やかで軽い",Temaki Sushi|手巻き寿司,"Bánh tráng, tôm, thịt heo, rau sống, bún, nước chấm đậu phộng|ライスペーパー、エビ、豚肉、生野菜、米麺、ピーナッツソース",https://upload.wikimedia.org/wikipedia/commons/0/03/Summer_roll.jpg,"Khai Vị, Hải Sản|前菜、シーフード",Kanto|関東,Hải sản|海鮮,,,
Nem Rán|Nem Ran,"Nem rán là món ăn truyền thống trong các bữa tiệc, với vỏ bánh cuốn giòn rụm, nhân gồm thịt, nấm, miến và các gia vị. Món ăn này thường được chiên giòn, tạo nên lớp vỏ ngoài thơm ngon, bên trong mềm mại, đậm đà. Nem rán thường được ăn kèm với rau sống và nước mắm chua ngọt. Đây là món ăn không thể thiếu trong các dịp lễ hội và tiệc tùng của người Việt.|揚げ春巻きは、パリパリのライスペーパーに肉、キノコ、春雨、スパイスなどの具材を詰めた、パーティーの伝統的な料理です。この料理は通常、揚げられていて、外側はおいしく、内側は柔らかくてコクのある味わいです。揚げ春巻きは通常、生野菜と甘酸っぱい魚醤と一緒に食べられます。ベトナムのお祭りやパーティーには欠かせない料理です。","Giòn, thơm béo|サクサクして濃厚な香り",Harumaki|春巻き,"Thịt heo, mộc nhĩ, miến, cà rốt, bánh tráng, nước mắm|豚肉、木耳、春雨、ニンジン、ライスペーパー、魚醤",https://static.hawonkoo.vn/hwk02/images/2023/10/cach-lam-nem-ran-bang-noi-chien-khong-dau-gion-rum.jpg,"Khai Vị, Món Chính|前菜、主菜",Yohoku|東北,Không có|ない,,,
Bánh Giầy|Banh Giay,"Bánh giầy là món ăn đặc trưng của người Việt Nam, thường được làm từ gạo nếp, có hình tròn dẹt. Bánh giầy có lớp vỏ mềm, dẻo, thường được ăn kèm với đậu xanh hoặc thịt heo. Đây là món ăn tượng trưng cho sự đoàn viên, được sử dụng trong các lễ hội Tết hoặc các dịp quan trọng. Bánh giầy mang ý nghĩa may mắn, phúc lộc, và là món ăn không thể thiếu trong các mâm cỗ truyền thống.|バイン・ジアイは典型的なベトナム料理で、通常はもち米から作られ、平らで丸い形をしています。バイン・ジアイは柔らかくて噛みごたえのある皮が特徴で、インゲン豆や豚肉と一緒に食べられることが多いです。これは再会を象徴する料理で、旧正月や重要な行事で使われます。バインザイは幸運と富を象徴し、伝統的な宴会には欠かせない料理です。","Dẻo, mềm, thơm|もちもちして柔らかく香り高い",Kirimochi|切り餅,"Gạo nếp, lá chuối, chả lụa|もち米、バナナの葉、チャールア",https://suckhoedoisong.qltns.mediacdn.vn/324455921873985536/2024/4/17/banh-day-chay-17133239657721851905832.jpg,Món Chay|ベジタリアン料理,Tohoku/Chubu|東北/中部,Không có|ない,,,
Bánh Đúc|Banh Duc|Banh Duc|Banh Duc,"Bánh đúc là món ăn đặc sản của người miền Bắc, với vỏ bánh mềm mịn, được làm từ bột gạo. Món bánh này có thể ăn kèm với thịt, mộc nhĩ, hoặc dưa chua, tạo nên một hương vị đậm đà, dễ ăn. Bánh đúc thường được dùng trong các bữa ăn sáng hoặc các dịp lễ hội. Đây là món ăn giản dị nhưng rất ngon miệng và có giá trị dinh dưỡng cao.|バイン・ドゥックは、米粉で作られた柔らかく滑らかな皮を持つ北部の人々の名物料理です。肉やキクラゲ、漬物などと一緒に食べると、濃厚で食べやすい味わいになります。バインドゥックは朝食やお祝いの席でよく食べられます。シンプルな料理ですが、とても美味しくて栄養価も高いです。","Mềm, thơm béo|柔らかく濃厚な香り",Mitarashi Dango|みたらし団子,"Bột gạo, nước cốt dừa, hành phi, nước mắm|米粉、ココナッツミルク、フライドオニオン、魚醤",https://upload.wikimedia.org/wikipedia/commons/0/00/Banhduc-northern.jpg,Món Chay|ベジタリアン料理,Kyoto|京都,Không có|ない,,,
Xôi Xéo|Xoi Xeo,"Xôi xéo là món ăn đặc biệt của người miền Bắc, được làm từ gạo nếp và đậu xanh. Món ăn này có vị ngọt nhẹ, ăn kèm với hành phi và mỡ hành, tạo nên sự kết hợp hài hòa. Xôi xéo thường được ăn sáng hoặc dùng trong các dịp lễ, Tết. Món ăn này mang đến cảm giác ngon miệng và là sự lựa chọn phổ biến trong các buổi tiệc nhẹ.|Xoi xeo はもち米とインゲン豆から作られる北部の人々の特別料理です。ほんのり甘い味わいで、揚げた玉ねぎとネギ油が添えられており、絶妙な組み合わせになっています。もち米は朝食や休日、旧正月などによく食べられます。この料理は美味しく、軽いパーティーに人気があります。","Dẻo thơm, béo nhẹ|もちもちとして、ほんのり濃厚",Onigiri|おにぎり,"Gạo nếp, đậu xanh, mỡ hành, hành phi|もち米、緑豆、ネギ油、フライドオニオン",https://beptruong.edu.vn/wp-content/uploads/2015/11/xoi-xeo-ha-noi.jpg,Món Chay|ベジタリアン料理,Tất cả|全部,Không có|ない,,,
